{'loss': 0.3762, 'learning_rate': 0.00029825236356518224, 'epoch': 0.58}
{'loss': 0.7168, 'learning_rate': 0.00029821381976091445, 'epoch': 0.59}
{'loss': 0.2324, 'learning_rate': 0.0002981748580870554, 'epoch': 0.59}
{'loss': 0.3411, 'learning_rate': 0.00029813547865345226, 'epoch': 0.6}
{'loss': 0.35, 'learning_rate': 0.00029809568157113044, 'epoch': 0.6}
{'loss': 0.2813, 'learning_rate': 0.0002980554669522925, 'epoch': 0.61}
{'loss': 0.3811, 'learning_rate': 0.0002980148349103184, 'epoch': 0.61}
{'loss': 0.2893, 'learning_rate': 0.00029797378555976474, 'epoch': 0.62}
{'loss': 0.4013, 'learning_rate': 0.000297932319016365, 'epoch': 0.62}
{'loss': 0.3641, 'learning_rate': 0.0002978904353970287, 'epoch': 0.63}
{'loss': 0.5374, 'learning_rate': 0.00029784813481984124, 'epoch': 0.63}
{'loss': 0.4721, 'learning_rate': 0.0002978054174040635, 'epoch': 0.64}
{'loss': 0.2731, 'learning_rate': 0.00029776228327013177, 'epoch': 0.65}
{'loss': 0.3109, 'learning_rate': 0.00029771873253965706, 'epoch': 0.65}
{'loss': 0.3347, 'learning_rate': 0.0002976747653354251, 'epoch': 0.66}
{'loss': 0.2423, 'learning_rate': 0.0002976303817813956, 'epoch': 0.66}
{'loss': 0.1384, 'learning_rate': 0.00029758558200270233, 'epoch': 0.67}
{'loss': 0.4078, 'learning_rate': 0.00029754036612565237, 'epoch': 0.67}
{'loss': 0.1984, 'learning_rate': 0.00029749473427772595, 'epoch': 0.68}
{'loss': 0.4993, 'learning_rate': 0.00029744868658757625, 'epoch': 0.68}
{'loss': 0.3865, 'learning_rate': 0.0002974022231850286, 'epoch': 0.69}
{'loss': 0.3663, 'learning_rate': 0.0002973553442010807, 'epoch': 0.69}
{'loss': 0.2491, 'learning_rate': 0.00029730804976790164, 'epoch': 0.7}
{'loss': 0.4501, 'learning_rate': 0.0002972603400188319, 'epoch': 0.7}
{'loss': 0.5773, 'learning_rate': 0.000297212215088383, 'epoch': 0.71}
{'loss': 0.1649, 'learning_rate': 0.00029716367511223687, 'epoch': 0.71}
{'loss': 0.1975, 'learning_rate': 0.00029711472022724564, 'epoch': 0.72}
{'loss': 0.1849, 'learning_rate': 0.00029706535057143126, 'epoch': 0.72}
{'loss': 0.1633, 'learning_rate': 0.0002970155662839851, 'epoch': 0.73}
{'loss': 0.4146, 'learning_rate': 0.0002969653675052675, 'epoch': 0.74}
{'loss': 0.1946, 'learning_rate': 0.00029691475437680723, 'epoch': 0.74}
{'loss': 0.1655, 'learning_rate': 0.0002968637270413016, 'epoch': 0.75}
{'loss': 0.3668, 'learning_rate': 0.00029681228564261544, 'epoch': 0.75}
{'loss': 0.626, 'learning_rate': 0.00029676043032578116, 'epoch': 0.76}
{'loss': 0.4243, 'learning_rate': 0.00029670816123699806, 'epoch': 0.76}
{'loss': 0.4261, 'learning_rate': 0.000296655478523632, 'epoch': 0.77}
{'loss': 0.1634, 'learning_rate': 0.00029660238233421505, 'epoch': 0.77}
{'loss': 0.3722, 'learning_rate': 0.00029654887281844506, 'epoch': 0.78}
{'loss': 0.2236, 'learning_rate': 0.0002964949501271851, 'epoch': 0.78}
{'loss': 0.1378, 'learning_rate': 0.0002964406144124632, 'epoch': 0.79}
{'loss': 0.6717, 'learning_rate': 0.00029638586582747187, 'epoch': 0.79}
{'loss': 0.27, 'learning_rate': 0.0002963307045265676, 'epoch': 0.8}
{'loss': 0.4307, 'learning_rate': 0.00029627513066527047, 'epoch': 0.8}
{'loss': 0.2279, 'learning_rate': 0.0002962191444002638, 'epoch': 0.81}
{'loss': 0.4035, 'learning_rate': 0.0002961627458893936, 'epoch': 0.81}
{'loss': 0.548, 'learning_rate': 0.0002961059352916681, 'epoch': 0.82}
{'loss': 0.4579, 'learning_rate': 0.0002960487127672574, 'epoch': 0.83}
{'loss': 0.2656, 'learning_rate': 0.000295991078477493, 'epoch': 0.83}
{'loss': 0.352, 'learning_rate': 0.0002959330325848673, 'epoch': 0.84}
{'loss': 0.2739, 'learning_rate': 0.000295874575253033, 'epoch': 0.84}
{'loss': 0.5408, 'learning_rate': 0.0002958157066468031, 'epoch': 0.85}
{'loss': 0.5891, 'learning_rate': 0.0002957564269321499, 'epoch': 0.85}
{'loss': 0.2346, 'learning_rate': 0.0002956967362762049, 'epoch': 0.86}
{'loss': 0.3484, 'learning_rate': 0.00029563663484725815, 'epoch': 0.86}
{'loss': 0.3682, 'learning_rate': 0.00029557612281475774, 'epoch': 0.87}
{'loss': 0.4925, 'learning_rate': 0.0002955152003493095, 'epoch': 0.87}
{'loss': 0.1613, 'learning_rate': 0.00029545386762267644, 'epoch': 0.88}
{'loss': 0.1895, 'learning_rate': 0.0002953921248077782, 'epoch': 0.88}
{'loss': 0.3466, 'learning_rate': 0.0002953299720786906, 'epoch': 0.89}
{'loss': 0.3922, 'learning_rate': 0.00029526740961064514, 'epoch': 0.89}
