{'loss': 0.0075, 'learning_rate': 4.25495562063537e-05, 'epoch': 2.07}
{'loss': 0.0018, 'learning_rate': 4.089188674713236e-05, 'epoch': 2.09}
{'loss': 0.0004, 'learning_rate': 3.9258814752225284e-05, 'epoch': 2.1}
{'loss': 0.0006, 'learning_rate': 3.7651019814126654e-05, 'epoch': 2.12}
{'loss': 0.0018, 'learning_rate': 3.606917100644488e-05, 'epoch': 2.14}
{'loss': 0.0023, 'learning_rate': 3.45139266054715e-05, 'epoch': 2.16}
{'loss': 0.0025, 'learning_rate': 3.298593381624406e-05, 'epoch': 2.18}
{'loss': 0.0013, 'learning_rate': 3.1485828503215585e-05, 'epoch': 2.2}
{'loss': 0.0013, 'learning_rate': 3.0014234925643837e-05, 'epoch': 2.22}
{'loss': 0.0041, 'learning_rate': 2.8571765477809643e-05, 'epoch': 2.24}
{'loss': 0.0007, 'learning_rate': 2.71590204341731e-05, 'epoch': 2.26}
{'loss': 0.0015, 'learning_rate': 2.5776587699573006e-05, 'epoch': 2.27}
{'loss': 0.0009, 'learning_rate': 2.4425042564574184e-05, 'epoch': 2.29}
{'loss': 0.0009, 'learning_rate': 2.3104947466063787e-05, 'epoch': 2.31}
{'loss': 0.0005, 'learning_rate': 2.181685175319702e-05, 'epoch': 2.33}
{'loss': 0.0002, 'learning_rate': 2.0561291458788733e-05, 'epoch': 2.35}
{'loss': 0.0015, 'learning_rate': 1.9338789076247e-05, 'epoch': 2.37}
{'loss': 0.0004, 'learning_rate': 1.8149853342140645e-05, 'epoch': 2.39}
{'loss': 0.0002, 'learning_rate': 1.6994979024491942e-05, 'epoch': 2.41}
{'loss': 0.0013, 'learning_rate': 1.587464671688187e-05, 'epoch': 2.43}
{'loss': 0.0083, 'learning_rate': 1.4789322638454351e-05, 'epoch': 2.45}
{'loss': 0.0257, 'learning_rate': 1.373945843990192e-05, 'epoch': 2.46}
{'loss': 0.0006, 'learning_rate': 1.272549101551438e-05, 'epoch': 2.48}
{'loss': 0.0133, 'learning_rate': 1.1747842321367886e-05, 'epoch': 2.5}
{'loss': 0.0008, 'learning_rate': 1.0806919199730615e-05, 'epoch': 2.52}
{'loss': 0.0002, 'learning_rate': 9.903113209758096e-06, 'epoch': 2.54}
{'loss': 0.0002, 'learning_rate': 9.036800464548157e-06, 'epoch': 2.56}
{'loss': 0.0003, 'learning_rate': 8.208341474624071e-06, 'epoch': 2.58}
{'loss': 0.0006, 'learning_rate': 7.4180809979102036e-06, 'epoch': 2.6}
{'loss': 0.038, 'learning_rate': 6.666347896263325e-06, 'epoch': 2.62}
{'loss': 0.0033, 'learning_rate': 5.953454998618857e-06, 'epoch': 2.64}
{'loss': 0.0225, 'learning_rate': 5.27969897080901e-06, 'epoch': 2.65}
{'loss': 0.0078, 'learning_rate': 4.6453601921072395e-06, 'epoch': 2.67}
{'loss': 0.0002, 'learning_rate': 4.050702638550275e-06, 'epoch': 2.69}
{'loss': 0.0003, 'learning_rate': 3.495973773086014e-06, 'epoch': 2.71}
{'loss': 0.007, 'learning_rate': 2.9814044425935606e-06, 'epoch': 2.73}
{'loss': 0.0018, 'learning_rate': 2.5072087818176382e-06, 'epoch': 2.75}
{'loss': 0.0032, 'learning_rate': 2.073584124257899e-06, 'epoch': 2.77}
{'loss': 0.0079, 'learning_rate': 1.6807109200496995e-06, 'epoch': 2.79}
{'loss': 0.001, 'learning_rate': 1.3287526608711131e-06, 'epoch': 2.81}
{'loss': 0.0011, 'learning_rate': 1.0178558119067315e-06, 'epoch': 2.82}
{'loss': 0.0006, 'learning_rate': 7.481497508972312e-07, 'epoch': 2.84}
{'loss': 0.0004, 'learning_rate': 5.19746714299596e-07, 'epoch': 2.86}
{'loss': 0.0004, 'learning_rate': 3.3274175058067846e-07, 'epoch': 2.88}
{'loss': 0.0006, 'learning_rate': 1.8721268066330676e-07, 'epoch': 2.9}
{'loss': 0.0013, 'learning_rate': 8.322006554171146e-08, 'epoch': 2.92}
{'loss': 0.0007, 'learning_rate': 2.080718107935198e-08, 'epoch': 2.94}
{'loss': 0.0012, 'learning_rate': 0.0, 'epoch': 2.96}
